Draw,Update
0.0140592,0.000580898
0.0136945,0.000592105
0.0134923,0.00057903
0.0133597,0.00057903
0.013285,0.000847532
0.0132257,0.000583232
0.0131155,0.000614519
0.013052,0.00190986
0.0131066,0.000583232
0.0130688,0.000583232
0.0130165,0.000580898
0.0130553,0.000935787
0.0129609,0.00192387
0.0138117,0.000648607
0.0138486,0.000650008
0.0141185,0.00189772
0.0135474,0.000638801
0.0134779,0.000649074
0.0134073,0.000907769
0.0132929,0.000646272
0.0132131,0.000649074
0.0131351,0.000582766
0.0130959,0.00190706
0.0139705,0.000641135
0.0139121,0.000638801
0.0138468,0.000928783
0.0137239,0.000645805
0.0136217,0.000646739
0.0139023,0.000651876
0.0137739,0.00190566
0.0136123,0.000646272
0.0136427,0.00064347
0.0134849,0.000913373
0.0134167,0.00064814
0.0133013,0.000647673
0.0132668,0.00058977
0.0132019,0.000580898
0.0131286,0.00190986
0.0132028,0.000659347
0.0132103,0.000905902
0.012996,0.000650942
0.0129301,0.000649541
0.0128745,0.000649541
0.0127797,0.00194909
0.0129301,0.000712113
0.0127984,0.000671488
0.0127312,0.000890959
0.0126892,0.000649074
0.0126504,0.00064814
0.0125748,0.00064814
0.0125724,0.000583699
0.0125495,0.00186877
0.0126677,0.000651876
0.0126635,0.000875082
0.0128236,0.00066495
0.0128316,0.000669153
0.0128447,0.000665417
0.0129054,0.000671021
0.0127018,0.00332709
0.0130151,0.000729858
0.0128928,0.00111837
0.0136987,0.000753673
0.0128862,0.000759276
0.0127148,0.000770016
0.0126574,0.000678492
0.0125729,0.00197711
0.0128344,0.000744334
0.0127172,0.000945593
0.0127667,0.000736395
0.0126163,0.000736395
0.0127634,0.000673823
0.0124314,0.00067429
0.0122325,0.00194022
0.0127256,0.000665884
0.0126579,0.000884421
0.0125981,0.000666818
0.0125444,0.000666818
0.0124477,0.000669153
0.0123796,0.000677558
0.0122815,0.00193508
0.0127994,0.000663083
0.0127223,0.000890492
0.0126252,0.000668219
0.0125351,0.000667285
0.0124991,0.000670087
0.0124389,0.00193321
0.0129726,0.000732193
0.0127671,0.000723787
0.012684,0.000883954
0.0126448,0.000668219
0.0125864,0.000673356
0.0124851,0.000671021
0.0124029,0.000683162
0.0123347,0.00194769
0.0127956,0.000726589
0.0127527,0.000961003
0.0126238,0.000670554
0.0125584,0.000671488
0.0125332,0.00066962
0.0124865,0.00195796
0.0130109,0.000729858
0.0128283,0.000730792
0.0127032,0.000964738
0.0126915,0.00067429
0.0125934,0.000671488
0.0125584,0.000670554
0.0124776,0.00347044
0.0133747,0.000729858
0.0132934,0.000726589
0.0131995,0.00786126
0.013087,0.000661682
0.0129549,0.000658413
0.0128998,0.000660748
0.0128073,0.000662616
0.0127214,0.000657012
0.0127326,0.000672422
0.0130076,0.000896095
0.012868,0.000613585
0.0124244,0.000888157
0.0123866,0.000600977
0.0122787,0.00186924
0.0123431,0.000661215
0.0122451,0.000659347
0.0121531,0.00213821
0.0129824,0.000663083
0.0129329,0.000660281
0.0128797,0.000660281
0.0128096,0.000660281
0.0127331,0.000659814
0.0130865,0.000677091
0.0129441,0.000914774
0.0127891,0.000624325
0.0127363,0.000624325
0.0126597,0.00189119
